TOMMY,0.112,male_first,TOMMY,TOMMY,TOMMY
LEON,0.112,male_first,LEON,LEON,LEON
DEREK,0.112,male_first,DEREK,DEREK,DEREK
WARREN,0.11,male_first,WARREN,WARREN,WARREN
DARRELL,0.108,male_first,DARRELL,DARRELL,DARRELL
JEROME,0.108,male_first,JEROME,JEROME,JEROME
FLOYD,0.107,male_first,FLOYD,FLOYD,FLOYD
LEO,0.106,male_first,LEO,LEO,LEO
ALVIN,0.105,male_first,ALVIN,ALVIN,ALVIN
TIM,0.104,male_first,TIM,TIM,TIM
WESLEY,0.104,male_first,WESLEY,WESLEY,WESLEY
GORDON,0.104,male_first,GORDON,GORDON,GORDON
DEAN,0.104,male_first,DEAN,DEAN,DEAN
GREG,0.104,male_first,GREG,GREG,GREG
JORGE,0.104,male_first,JORGE,JORGE,JORGE
DUSTIN,0.103,male_first,DUSTIN,DUSTIN,DUSTIN
PEDRO,0.103,male_first,PEDRO,PEDRO,PEDRO
DERRICK,0.103,male_first,DERRICK,DERRICK,DERRICK
DAN,0.101,male_first,DAN,DAN,DAN
LEWIS,0.099,male_first,LEWIS,LEWIS,LEWIS
ZACHARY,0.099,male_first,ZACHARY,ZACHARY,ZACHARY
COREY,0.098,male_first,COREY,COREY,COREY
HERMAN,0.097,male_first,HERMAN,HERMAN,HERMAN
MAURICE,0.097,male_first,MAURICE,MAURICE,MAURICE
VERNON,0.097,male_first,VERNON,VERNON,VERNON
ROBERTO,0.097,male_first,ROBERTO,ROBERTO,ROBERTO
CLYDE,0.095,male_first,CLYDE,CLYDE,CLYDE
GLEN,0.094,male_first,GLEN,GLEN,GLEN
HECTOR,0.094,male_first,HECTOR,HECTOR,HECTOR
SHANE,0.093,male_first,SHANE,SHANE,SHANE
RICARDO,0.093,male_first,RICARDO,RICARDO,RICARDO
SAM,0.092,male_first,SAM,SAM,SAM
RICK,0.091,male_first,RICK,RICK,RICK
LESTER,0.091,male_first,LESTER,LESTER,LESTER
BRENT,0.09,male_first,BRENT,BRENT,BRENT
RAMON,0.09,male_first,RAMON,RAMON,RAMON
CHARLIE,0.09,male_first,CHARLIE,CHARLIE,CHARLIE
TYLER,0.089,male_first,TYLER,TYLER,TYLER
GILBERT,0.089,male_first,GILBERT,GILBERT,GILBERT
GENE,0.087,male_first,GENE,GENE,GENE
MARC,0.087,male_first,MARC,MARC,MARC
REGINALD,0.084,male_first,REGINALD,REGINALD,REGINALD
RUBEN,0.082,male_first,RUBEN,RUBEN,RUBEN
BRETT,0.082,male_first,BRETT,BRETT,BRETT
ANGEL,0.082,male_first,ANGEL,ANGEL,ANGEL
NATHANIEL,0.081,male_first,NATHANIEL,NATHANIEL,NATHANIEL
RAFAEL,0.081,male_first,RAFAEL,RAFAEL,RAFAEL
LESLIE,0.081,male_first,LESLIE,LESLIE,LESLIE
EDGAR,0.08,male_first,EDGAR,EDGAR,EDGAR
MILTON,0.08,male_first,MILTON,MILTON,MILTON
RAUL,0.079,male_first,RAUL,RAUL,RAUL
BEN,0.078,male_first,BEN,BEN,BEN
CHESTER,0.078,male_first,CHESTER,CHESTER,CHESTER
CECIL,0.078,male_first,CECIL,CECIL,CECIL
DUANE,0.077,male_first,DUANE,DUANE,DUANE
FRANKLIN,0.077,male_first,FRANKLIN,FRANKLIN,FRANKLIN
