TAMMY,0.259,female_first,TAMMY,TAMMY,TAMMY
IRENE,0.252,female_first,IRENE,IRENE,IRENE
JANE,0.25,female_first,JANE,JANE,JANE
LORI,0.248,female_first,LORI,LORI,LORI
RACHEL,0.242,female_first,RACHEL,RACHEL,RACHEL
MARILYN,0.241,female_first,MARILYN,MARILYN,MARILYN
ANDREA,0.236,female_first,ANDREA,ANDREA,ANDREA
KATHRYN,0.234,female_first,KATHRYN,KATHRYN,KATHRYN
LOUISE,0.229,female_first,LOUISE,LOUISE,LOUISE
SARA,0.229,female_first,SARA,SARA,SARA
ANNE,0.228,female_first,ANNE,ANNE,ANNE
JACQUELINE,0.228,female_first,JACQUELINE,JACQUELINE,JACQUELINE
WANDA,0.226,female_first,WANDA,WANDA,WANDA
BONNIE,0.223,female_first,BONNIE,BONNIE,BONNIE
JULIA,0.223,female_first,JULIA,JULIA,JULIA
RUBY,0.221,female_first,RUBY,RUBY,RUBY
LOIS,0.22,female_first,LOIS,LOIS,LOIS
TINA,0.22,female_first,TINA,TINA,TINA
PHYLLIS,0.219,female_first,PHYLLIS,PHYLLIS,PHYLLIS
NORMA,0.218,female_first,NORMA,NORMA,NORMA
PAULA,0.217,female_first,PAULA,PAULA,PAULA
DIANA,0.216,female_first,DIANA,DIANA,DIANA
ANNIE,0.216,female_first,ANNIE,ANNIE,ANNIE
LILLIAN,0.211,female_first,LILLIAN,LILLIAN,LILLIAN
EMILY,0.208,female_first,EMILY,EMILY,EMILY
ROBIN,0.208,female_first,ROBIN,ROBIN,ROBIN
PEGGY,0.208,female_first,PEGGY,PEGGY,PEGGY
CRYSTAL,0.207,female_first,CRYSTAL,CRYSTAL,CRYSTAL
GLADYS,0.205,female_first,GLADYS,GLADYS,GLADYS
RITA,0.204,female_first,RITA,RITA,RITA
DAWN,0.202,female_first,DAWN,DAWN,DAWN
CONNIE,0.2,female_first,CONNIE,CONNIE,CONNIE
FLORENCE,0.2,female_first,FLORENCE,FLORENCE,FLORENCE
TRACY,0.197,female_first,TRACY,TRACY,TRACY
EDNA,0.197,female_first,EDNA,EDNA,EDNA
TIFFANY,0.195,female_first,TIFFANY,TIFFANY,TIFFANY
CARMEN,0.195,female_first,CARMEN,CARMEN,CARMEN
ROSA,0.194,female_first,ROSA,ROSA,ROSA
CINDY,0.192,female_first,CINDY,CINDY,CINDY
GRACE,0.189,female_first,GRACE,GRACE,GRACE
WENDY,0.185,female_first,WENDY,WENDY,WENDY
VICTORIA,0.18,female_first,VICTORIA,VICTORIA,VICTORIA
EDITH,0.179,female_first,EDITH,EDITH,EDITH
KIM,0.178,female_first,KIM,KIM,KIM
SHERRY,0.178,female_first,SHERRY,SHERRY,SHERRY
SYLVIA,0.177,female_first,SYLVIA,SYLVIA,SYLVIA
JOSEPHINE,0.177,female_first,JOSEPHINE,JOSEPHINE,JOSEPHINE
THELMA,0.175,female_first,THELMA,THELMA,THELMA
SHANNON,0.175,female_first,SHANNON,SHANNON,SHANNON
SHEILA,0.175,female_first,SHEILA,SHEILA,SHEILA
ETHEL,0.174,female_first,ETHEL,ETHEL,ETHEL
ELLEN,0.173,female_first,ELLEN,ELLEN,ELLEN
ELAINE,0.173,female_first,ELAINE,ELAINE,ELAINE
MARJORIE,0.173,female_first,MARJORIE,MARJORIE,MARJORIE
CARRIE,0.171,female_first,CARRIE,CARRIE,CARRIE
CHARLOTTE,0.169,female_first,CHARLOTTE,CHARLOTTE,CHARLOTTE
MONICA,0.166,female_first,MONICA,MONICA,MONICA
ESTHER,0.166,female_first,ESTHER,ESTHER,ESTHER
PAULINE,0.165,female_first,PAULINE,PAULINE,PAULINE
EMMA,0.165,female_first,EMMA,EMMA,EMMA
JUANITA,0.164,female_first,JUANITA,JUANITA,JUANITA
ANITA,0.162,female_first,ANITA,ANITA,ANITA
RHONDA,0.162,female_first,RHONDA,RHONDA,RHONDA
HAZEL,0.161,female_first,HAZEL,HAZEL,HAZEL
AMBER,0.16,female_first,AMBER,AMBER,AMBER
